"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"HOUDEK",739355,TRUE,2009,FALSE,TRUE
"VANOCKER",184486,FALSE,1999,FALSE,TRUE
"DELMONT",109343,FALSE,2009,FALSE,TRUE
"WOODLY",104161,FALSE,2006,FALSE,TRUE
"LAKOA",103866,FALSE,2010,FALSE,TRUE
"CITADEL",102170,TRUE,2010,FALSE,TRUE
"JERAULD",102091,FALSE,1997,FALSE,TRUE
"GRIZZLY",46129,FALSE,2010,FALSE,TRUE
"MONDAMIN",28586,FALSE,1998,FALSE,TRUE
"SUTLEY",17251,FALSE,1998,FALSE,TRUE
"BADUS",10828,FALSE,1999,TRUE,FALSE
"SIECHE",8111,FALSE,2009,TRUE,FALSE
