"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ADDIELOU","A",0,20,NA,NA,NA,"1OYR","5","3"
"ADDIELOU","E",20,71,NA,NA,NA,"1OYR","6","4"
"ADDIELOU","Bt",71,122,NA,NA,NA,"1OYR","5","6"
"ADDIELOU","Bt/E1",122,152,NA,NA,NA,"1OYR","5","6"
"ADDIELOU","Bt/E2",152,229,NA,NA,NA,"1OYR","6","1"
"CAYO","Bknzl",48,71,"2.5Y","7","2","2.5Y","6","2"
"CRANELL","Btk",142,109,NA,NA,NA,"10YR","4","2"
"DALLARDSVILLE","E/Btl",53,79,NA,NA,NA,"7.5YR","7","3"
"DALLARDSVILLE","Btx/Egl",155,191,NA,NA,NA,"10YR","6","6"
"GAGEBY","Bwl",61,107,"5YR","5","6","5YR","4","6"
"GRAYROCK","Ap",0,18,"l0YR","5","2","l0YR","4","2"
"GRITER","Btl",18,41,"2.5YR","4","4","2.5YR","3","4"
"GRITER","BCtl",94,130,"5YR","6","6","5YR","5","6"
"HEARNE","C2",94,183,"l0YR","6","8",NA,NA,NA
"KRADE","A",0,18,"1OYR","5","3","1OYR","4","3"
"MOLLVILLE","Oe",5,0,NA,NA,NA,"10YR","7","1"
"PALOBIA","2Btnl",23,36,"7.5YR","5","2","7.5YR","4","2"
"PALOBIA","2BCkncl",102,142,"2.5Y","7","4","2.5Y","6","4"
"ROSANKY","Ap",NA,13,"lOYR","5","3","lOYR","4","3"
"TASAJAL","2Btnl",30,48,"10YR","4","3","10YR","3","3"
"TURCOTTE","A1",0,13,"10YR","4","2","1OYR","3","2"
"TURCOTTE","A2",13,25,"1OYR","4","2","1OYR","3","2"
"TURCOTTE","Bk1",25,64,"1OYR","6","2","1OYR","5","2"
"TURCOTTE","Bk2",64,97,"1OYR","6","3","1OYR","5","3"
"TURCOTTE","BCk",97,203,"10YR","7","3","1OYR","6","3"
"WARDA","BC1",163,163,"10YR","4","2","10YR","3","2"
