"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"LEERAY",462487,TRUE,2017,TRUE,FALSE
"UVALDE",431820,TRUE,2016,TRUE,FALSE
"NUVALDE",341892,FALSE,2017,TRUE,FALSE
"RADER",305857,TRUE,2006,TRUE,FALSE
"TABOR",274180,FALSE,1997,TRUE,FALSE
"ABILENE",245509,TRUE,2015,TRUE,FALSE
"PALOBIA",173052,TRUE,2007,FALSE,TRUE
"OTANYA",159345,TRUE,2006,TRUE,FALSE
"GAGEBY",102476,FALSE,2017,FALSE,TRUE
"ROSANKY",93065,FALSE,1997,TRUE,TRUE
"DALLARDSVILLE",91608,FALSE,2000,FALSE,TRUE
"VOCA",85295,FALSE,2010,TRUE,FALSE
"VIBORAS",73305,FALSE,2009,TRUE,FALSE
"MOLLVILLE",72300,FALSE,2002,TRUE,FALSE
"CRANELL",65415,FALSE,2007,TRUE,FALSE
"HEARNE",61540,FALSE,2003,TRUE,TRUE
"QUEMADO",60905,FALSE,2009,TRUE,FALSE
"TEXLA",55408,FALSE,1997,TRUE,FALSE
"FRANCITAS",44894,FALSE,2015,TRUE,FALSE
"CAYO",36335,FALSE,2007,FALSE,TRUE
"TOPIA",26708,FALSE,2016,TRUE,FALSE
"GANADO",23644,FALSE,2019,TRUE,FALSE
"HIGHBANK",18273,FALSE,2001,TRUE,FALSE
"ADDIELOU",15478,FALSE,2005,FALSE,TRUE
"ANGELINA",14362,FALSE,1998,FALSE,TRUE
"LATINA",12060,FALSE,2015,TRUE,FALSE
"RUPLEY",11956,FALSE,1993,TRUE,FALSE
"GRITER",11048,FALSE,2002,FALSE,TRUE
"WINEDALE",10350,FALSE,1997,TRUE,FALSE
"KRADE",4733,FALSE,2003,FALSE,TRUE
"GRAYROCK",4135,FALSE,2000,FALSE,TRUE
"TURCOTTE",3741,FALSE,2003,FALSE,TRUE
"WARDA",2763,FALSE,1998,TRUE,FALSE
"TASAJAL",1199,FALSE,2003,FALSE,TRUE
