"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"BEHANIN","O1",1,0,NA,NA,NA,NA,NA,NA
"CALLINGS","Oi",1,0,NA,NA,NA,NA,NA,NA
"CRANBAY","Oi",1,0,NA,NA,NA,NA,NA,NA
"GAPPMAYER","O1",5,0,NA,NA,NA,NA,NA,NA
"GAPPMAYER","Clca",160,183,"10YR","6","3","10YR","4","3"
"GAPPMAYER","A21",NA,48,"10YR","6","3","10YR","5","3"
"GEERTSEN","O1",5,0,NA,NA,NA,NA,NA,NA
"GEERTSEN","R",114,NA,NA,NA,NA,NA,NA,NA
"GEERTSEN","A11",NA,8,"10YR","3","3","10YR","2","2"
"GREEN CANYON","Cl",41,58,"10YR","5","3","10YR","4","2"
"GREEN CANYON","All",NA,23,"10YR","4","2","10YR","3","2"
"GUILDER","O1",3,0,NA,NA,NA,NA,NA,NA
"GUILDER","B2lt",30,56,"2.5YR","4","6","2.5YR","3","6"
"GUILDER","Al",NA,13,NA,NA,NA,"5YR","3","3"
"HARKERS","Al",0,36,"10YR","3","2","10YR","2","2"
"HARKERS","Bl",36,48,"10YR","5","2","10YR","3","2"
"HARKERS","Clca",147,203,"10YR","6","4","7.5YR","5","4"
"HATCH","O1",1,0,NA,NA,NA,NA,NA,NA
"HIVAL","Al",0,13,"7.5YR","4","4","7.5YR","3","4"
"HOSKIN","Al",0,18,"7.5YR","4","3","7.5YR","3","2"
"HUPP","Al",0,15,"10YR","5","2","10YR","3","2"
"KILFOIL","All",NA,3,"10YR","5","3","10YR","3","3"
"KINESAVA","All",0,13,"10YR","4","2","10YR","3","2"
"KINESAVA","Blt",79,99,"7.5YR","4","3","7.5YR","3","3"
"KJAR","Cl",20,36,"10YR","8","2","10YR","7","2"
"KNUTSEN","Apl",0,3,"10YR","5","2","10YR","3","1"
"KNUTSEN","Bwl",20,28,"10YR","5","2","10YR","3","2"
"LAKE JANEE","Al",NA,5,"10YR","4","2","10YR","2","2"
"LEDGEFORK","Al",0,18,"10YR","3","1","10YR","2","1"
"LEWISTON","Ckl",33,56,"10YR","7","2","10YR","6","2"
"LISADE","Al",0,5,"7.5YR","6","2","7.5YR","5","3"
