"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"MEDBURN",153214,TRUE,2003,TRUE,FALSE
"BEHANIN",67468,FALSE,1999,TRUE,FALSE
"ST. MARYS",59070,FALSE,2003,FALSE,TRUE
"PLEGOMIR",55542,FALSE,2003,FALSE,TRUE
"LEDGEFORK",52897,FALSE,1999,FALSE,TRUE
"GEERTSEN",48049,FALSE,1999,TRUE,FALSE
"HOSKIN",42086,FALSE,2003,TRUE,TRUE
"MOKIAK",39741,FALSE,2006,FALSE,TRUE
"PRESTON",38798,FALSE,1995,FALSE,TRUE
"TODDLER",36561,FALSE,2003,FALSE,TRUE
"CALLINGS",34811,FALSE,1999,TRUE,FALSE
"HUPP",30415,FALSE,1999,FALSE,TRUE
"GAPPMAYER",28406,FALSE,1999,TRUE,TRUE
"YELJACK",26715,FALSE,1999,FALSE,TRUE
"SANDBENCH",25949,FALSE,2000,TRUE,TRUE
"WOODPASS",25245,FALSE,1999,FALSE,TRUE
"HARKERS",24828,TRUE,1997,FALSE,TRUE
"LEWISTON",20183,FALSE,2005,FALSE,TRUE
"MOUNTAINVILLE",18611,FALSE,2003,FALSE,TRUE
"TOBLER",17674,FALSE,2007,FALSE,TRUE
"LAKE JANEE",17085,TRUE,1999,TRUE,TRUE
"TOZE",16949,FALSE,1999,FALSE,TRUE
"RICHENS",16308,FALSE,1999,TRUE,FALSE
"LITTLE POLE",15665,FALSE,2003,FALSE,TRUE
"PICAYUNE",15253,FALSE,2003,FALSE,TRUE
"OKRIST",14881,FALSE,1998,FALSE,TRUE
"RICHVILLE",12032,FALSE,1999,TRUE,TRUE
"PLEASANT GROVE",11973,FALSE,2003,FALSE,TRUE
"KNUTSEN",11742,FALSE,2003,FALSE,TRUE
"OBRAY",11308,TRUE,1999,FALSE,TRUE
"WINDMILL",11299,FALSE,2001,FALSE,TRUE
"LOSEE",11068,FALSE,1999,FALSE,TRUE
"PAHREAH",10959,FALSE,1999,TRUE,FALSE
"KINESAVA",10798,FALSE,1999,FALSE,TRUE
"MINERAL MOUNTAIN",10514,FALSE,1997,TRUE,FALSE
"OBRAST",10418,FALSE,1997,FALSE,TRUE
"SCHMUTZ",10324,FALSE,1992,FALSE,TRUE
"MORTENSON",9787,FALSE,1999,TRUE,FALSE
"OSOTE",9758,FALSE,1999,FALSE,TRUE
"KILFOIL",9428,FALSE,2003,TRUE,TRUE
"LISADE",8478,FALSE,2009,FALSE,TRUE
"TACAN",7880,FALSE,2001,FALSE,TRUE
"ZEESIX",6986,FALSE,1999,FALSE,TRUE
"ZEGRO",6590,FALSE,2003,FALSE,TRUE
"PRITCHETT",6385,FALSE,1999,FALSE,TRUE
"NORCAN",6310,FALSE,1997,TRUE,TRUE
"SEDWELL",6117,FALSE,1992,FALSE,TRUE
"SHUMWAY",5934,FALSE,1999,FALSE,TRUE
"PLEASANT VALE",5863,FALSE,2003,FALSE,TRUE
"RAPHO",5793,FALSE,2009,FALSE,TRUE
"TINGEY",5776,FALSE,2002,FALSE,TRUE
"SALT LAKE",5732,FALSE,1999,TRUE,FALSE
"YARDLEY",5265,FALSE,2003,FALSE,TRUE
"SHEEPCAN",4936,FALSE,2003,TRUE,TRUE
"RICH",4554,FALSE,1999,FALSE,TRUE
"WAAS",4295,FALSE,1999,FALSE,TRUE
"GUILDER",4295,FALSE,2003,TRUE,TRUE
"MONDEY",4240,FALSE,1997,TRUE,TRUE
"WOODS CROSS",4222,FALSE,1997,FALSE,TRUE
"MUNK",4178,FALSE,2003,FALSE,TRUE
"MAUGHAN",3995,FALSE,1999,FALSE,TRUE
"HATCH",3894,FALSE,1999,TRUE,FALSE
"PAICE",3870,FALSE,2003,FALSE,TRUE
"PETEETNEET",3854,FALSE,2001,FALSE,TRUE
"HIVAL",3819,FALSE,1999,FALSE,TRUE
"MILLVILLE",3711,FALSE,1999,TRUE,FALSE
"TOBISH",3684,FALSE,2001,FALSE,TRUE
"SHEAR",3198,FALSE,2001,FALSE,TRUE
"KJAR",2835,FALSE,2000,FALSE,TRUE
"STODA",2804,FALSE,2003,FALSE,TRUE
"SNOWVILLE",2649,FALSE,2003,FALSE,TRUE
"MORGALA",2630,FALSE,1997,FALSE,TRUE
"REDCAN",2580,FALSE,2003,FALSE,TRUE
"MUD SPRINGS",2239,FALSE,2003,FALSE,TRUE
"MCPHIE",2201,FALSE,2001,FALSE,TRUE
"GREEN CANYON",2001,FALSE,1992,TRUE,TRUE
"CRANBAY",1551,FALSE,1998,TRUE,FALSE
"MAYFIELD",1137,FALSE,2009,FALSE,TRUE
"PERINOS",780,FALSE,1999,FALSE,TRUE
"ZANE",NA,FALSE,2001,TRUE,TRUE
"HUME",NA,FALSE,2003,TRUE,FALSE
