"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"ORISKANY",244656,FALSE,2008,TRUE,FALSE
"ASHLAR",109589,TRUE,2017,FALSE,TRUE
"NEWBERN",73692,FALSE,1998,FALSE,TRUE
"LODI",66649,TRUE,2010,FALSE,TRUE
"COLFAX",58035,FALSE,1997,TRUE,FALSE
"PARTLOW",26416,FALSE,1999,FALSE,TRUE
"PAMUNKEY",23728,FALSE,2002,FALSE,TRUE
"BEECH GROVE",23364,FALSE,2002,TRUE,FALSE
"ELBERT",23220,FALSE,1997,FALSE,TRUE
"ACKWATER",20910,FALSE,1997,FALSE,TRUE
"DRAYKE",18447,FALSE,2022,FALSE,TRUE
"WURNO",18390,TRUE,1998,FALSE,TRUE
"DRYPOND",15436,FALSE,2003,TRUE,FALSE
"MANASSAS",12133,FALSE,2004,FALSE,TRUE
"BRENTSVILLE",8755,FALSE,1997,FALSE,TRUE
"SWIMLEY",7004,FALSE,2005,FALSE,TRUE
"BUCKTON",4271,FALSE,2005,FALSE,TRUE
"TRENHOLM",4019,FALSE,2002,TRUE,TRUE
"TUCKAHOE",3244,FALSE,1999,FALSE,TRUE
"BURROWSVILLE",3176,FALSE,1997,FALSE,TRUE
"CALVERTON",2588,FALSE,2005,FALSE,TRUE
"ALDERFLATS",529,FALSE,2006,FALSE,TRUE
