"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"AHL","O2",3,0,NA,NA,NA,NA,NA,NA
"AHL","O1",8,3,NA,NA,NA,NA,NA,NA
"AHREN","Oe",4,0,NA,NA,NA,NA,NA,NA
"ALKIRIDGE","O",3,0,NA,NA,NA,NA,NA,NA
"ALMAC","Oi",6,0,NA,NA,NA,NA,NA,NA
"ANGLE","Oi",1,0,NA,NA,NA,NA,NA,NA
"ARISTINE","Bwl",25,41,"7.5YR","5","6","7.5YR","3","3"
"AZWELL","Oi",1,0,NA,NA,NA,NA,NA,NA
"AZWELL","C",38,66,"10YR","4","2","l0YR","3","4"
"BALDHILL","A",0,10,"l0YR","5","3","l0YR","3","3"
"BALDHILL","BA",10,30,NA,NA,NA,"l0YR","4","4"
"BALDHILL","Bwl",30,74,"l0YR","6","3","l0YR","4","3"
"BALDHILL","Bw3",91,114,"l0YR","6","3","2.5Y","4","4"
"BALDHILL","Bw4",114,137,"l0YR","6","3","l0YR","4","4"
"BALDHILL","C",137,152,"l0YR","5","8","l0YR","4","6"
"BANDID","Oa",1,0,NA,NA,NA,NA,NA,NA
"BANDID","Oi",5,1,NA,NA,NA,NA,NA,NA
"BANNEL","Oi",1,0,NA,NA,NA,NA,NA,NA
"BARNHARDT","Oi",3,0,NA,NA,NA,NA,NA,NA
"BAUMGARD","Oa",1,0,NA,NA,NA,NA,NA,NA
"BAUMGARD","Oi",3,1,NA,NA,NA,NA,NA,NA
"BEAR PRAIRIE","Al",8,25,"10YR","3","2","10YR","2","1"
"BEAR PRAIRIE","Bwl",71,114,"10YR","5","4","10YR","4","4"
"BEIGLE","Oe",5,0,NA,NA,NA,NA,NA,NA
"BELLICUM","E",0,3,"l0YR","6","2","l0YR","4","2"
"BELLICUM","Bs1",3,18,"l0YR","6","6","7.5YR","5","6"
"BELLICUM","Oe",5,0,NA,NA,NA,NA,NA,NA
"BELLICUM","Bs2",18,46,"l0YR","7","6","5YR","5","6"
"BELLICUM","2Bwb",46,84,"l0YR","7","4","l0YR","3","3"
"BELLICUM","2BCb",84,127,"2.5Y","6","4","l0YR","4","4"
"BENHAM","Oe",11,0,NA,NA,NA,NA,NA,NA
"BENHAM","3Bsb1",69,79,"l0YR","6",NA,"10YR","4","1"
"BIRDSVIEW","A",0,13,"l0YR","5","4","l0YR","3","3"
"BIRDSVIEW","O",10,0,NA,NA,NA,NA,NA,NA
"BIRDSVIEW","Bwl",13,76,NA,NA,NA,"l0YR","4","4"
"BIRDSVIEW","Bw2",76,137,"l0YR","6","4","l0YR","4","4"
"BISPING","Oi",3,0,NA,NA,NA,NA,NA,NA
"BLAG","A",0,15,"l0YR","6","2","l0YR","4","3"
"BLAG","Bw",15,41,"l0YR","6","3","l0YR","4","4"
"BLETHEN","A",0,13,"l0YR","4","3","l0YR","3","2"
"BLETHEN","Oa",5,0,NA,NA,NA,NA,NA,NA
"BLETHEN","Oi",13,5,NA,NA,NA,NA,NA,NA
"BLETHEN","Bs1",13,33,"l0YR","5","4","l0YR","4","3"
"BLETHEN","Bs2",33,61,"l0YR","6","4",NA,NA,NA
"BLETHEN","Bs3",61,107,"l0YR","6","4","l0YR","4","4"
"BLETHEN","C",107,152,"l0YR","7","4","l0YR","5","4"
"BLEWETT","A",0,8,"l0YR","5","3","l0YR","3","2"
"BLEWETT","Oi",1,0,NA,NA,NA,NA,NA,NA
"BLEWETT","Bw",8,25,"l0YR","5","4","l0YR","3","3"
"BOISTFORT","Al",5,28,"l0YR","4","2","7.5YR","3","2"
"BOISTFORT","A2",28,53,"l0YR","4","3","7.5YR","3","2"
"BOISTFORT","2Bwl",53,99,"l0YR","5","6","7.5YR","4","4"
"BOISTFORT","2Bw2",99,140,"l0YR","5","8","7.5YR","5","6"
"BROADAX","Apl",0,10,"10YR","4","2","10YR","2","2"
"BROMO","Al",0,3,"l0YR","6",NA,"l0YR","3",NA
"BROMO","A2",3,10,"l0YR","5","3","l0YR","3","3"
"BROMO","O",10,0,NA,NA,NA,NA,NA,NA
"BROMO","AB",10,25,"l0YR","5","2","l0YR","3","2"
"BROMO","2Bsb1",58,89,"l0YR","6","4","l0YR","3","3"
"BROMO","2Bsb2",89,152,"l0YR","7","4","l0YR","4","4"
"BUCKPEAK","Oe",3,0,NA,NA,NA,NA,NA,NA
"CATLA","Cdl",41,94,"10YR","7","2","10YR","6","3"
"CATTCREEK","Oe",3,0,NA,NA,NA,NA,NA,NA
"CAYUSE","O",1,0,NA,NA,NA,NA,NA,NA
"CHAPOT","Oi",1,0,NA,NA,NA,NA,NA,NA
"CINEBAR","Oa",3,0,NA,NA,NA,NA,NA,NA
"CINEBAR","Oi",4,3,NA,NA,NA,NA,NA,NA
"CINNAMON","Oa",8,0,NA,NA,NA,NA,NA,NA
"CINNAMON","Oi",10,8,NA,NA,NA,NA,NA,NA
