"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"NEVINE",284920,FALSE,2005,TRUE,TRUE
"NEWBELL",253538,FALSE,2009,FALSE,TRUE
"AITS",240391,TRUE,2004,FALSE,TRUE
"CINEBAR",172365,TRUE,2004,TRUE,TRUE
"BUCKPEAK",128741,FALSE,2002,TRUE,FALSE
"BROADAX",123234,FALSE,1997,FALSE,TRUE
"GERMANY",105249,FALSE,1998,FALSE,TRUE
"WAPAL",96178,FALSE,2005,FALSE,TRUE
"HAZELDELL",74306,FALSE,1998,TRUE,FALSE
"SHELTON",73399,FALSE,2004,TRUE,TRUE
"SHERLOCK",73149,FALSE,2005,FALSE,TRUE
"GROVE",72422,FALSE,1988,TRUE,FALSE
"PRATHER",70462,FALSE,2002,TRUE,FALSE
"KATULA",66072,FALSE,1999,TRUE,TRUE
"ELWELL",62083,FALSE,1999,TRUE,TRUE
"BAUMGARD",60823,FALSE,2002,TRUE,FALSE
"WASHOUGAL",56846,FALSE,1998,TRUE,FALSE
"OAKES",56506,FALSE,2004,TRUE,TRUE
"CATTCREEK",53654,FALSE,1998,TRUE,FALSE
"ZYNBAR",51255,TRUE,1998,TRUE,TRUE
"HOODSPORT",48614,FALSE,2004,TRUE,FALSE
"KITSAP",47920,TRUE,2018,FALSE,TRUE
"CLOQUATO",45998,FALSE,2000,TRUE,TRUE
"KALEETAN",43462,FALSE,2002,TRUE,FALSE
"VABUS",42442,FALSE,2001,TRUE,TRUE
"NORTHSTAR",42149,FALSE,2005,FALSE,TRUE
"PUGET",41307,TRUE,2000,TRUE,TRUE
"SCRABBLERS",37521,FALSE,2011,TRUE,TRUE
"BOISTFORT",35632,TRUE,1999,FALSE,TRUE
"NEWAUKUM",35284,FALSE,2004,TRUE,TRUE
"SWIFT",34988,FALSE,1998,TRUE,FALSE
"BLETHEN",33761,FALSE,2004,TRUE,TRUE
"TREEN",32525,FALSE,2004,FALSE,TRUE
"WILKESON",31147,FALSE,1998,TRUE,TRUE
"MARTELLA",30519,FALSE,2005,TRUE,FALSE
"RAUGHT",30371,FALSE,1998,TRUE,TRUE
"SCAR",30338,FALSE,2005,TRUE,TRUE
"PUYALLUP",29820,TRUE,2012,FALSE,TRUE
"CISPUS",28066,FALSE,2004,TRUE,TRUE
"RINKER",27399,FALSE,2004,TRUE,TRUE
"MONTBORNE",26830,FALSE,2003,TRUE,TRUE
"NANAMKIN",26496,FALSE,2005,FALSE,TRUE
"SKYKOMISH",25475,FALSE,1994,TRUE,FALSE
"DOMELL",24610,FALSE,2002,TRUE,TRUE
"SWEM",24219,FALSE,2012,FALSE,TRUE
"SKAGIT",23491,FALSE,2005,FALSE,TRUE
"BELLICUM",22307,FALSE,1998,TRUE,TRUE
"HOFFSTADT",21980,FALSE,2003,TRUE,FALSE
"KEGEL",21186,FALSE,2005,FALSE,TRUE
"CRACKERCREEK",20919,FALSE,2004,FALSE,TRUE
"PALMICH",20890,FALSE,2001,TRUE,TRUE
"OLEQUA",19994,FALSE,2002,TRUE,FALSE
"CINNAMON",19519,FALSE,1998,TRUE,FALSE
"BEIGLE",19040,FALSE,2002,TRUE,FALSE
"SQUALICUM",18692,FALSE,2002,TRUE,TRUE
"NISQUALLY",18478,FALSE,2012,FALSE,TRUE
"SEMIAHMOO",18345,TRUE,1999,FALSE,TRUE
"KIEHL",18267,FALSE,2005,FALSE,TRUE
"VAILTON",18199,FALSE,2002,TRUE,TRUE
"ZYZYL",17826,FALSE,1999,TRUE,TRUE
"CLOVERLAND",17673,FALSE,2013,TRUE,FALSE
"MCCREE",17336,FALSE,2005,TRUE,FALSE
"ROXER",17252,FALSE,2003,FALSE,TRUE
"WOLLARD",17107,FALSE,2004,TRUE,FALSE
"SAUVOLA",16975,FALSE,2002,TRUE,TRUE
"SORENSEN",16600,FALSE,2002,TRUE,FALSE
"GUEMES",16428,FALSE,1997,TRUE,TRUE
"NIMS",16078,FALSE,2002,FALSE,TRUE
"OLOMOUNT",16043,FALSE,2004,TRUE,FALSE
"SCOTTIES",15899,FALSE,2001,TRUE,TRUE
"MOBATE",15790,FALSE,2005,FALSE,TRUE
"SMACKOUT",15761,FALSE,2005,FALSE,TRUE
"WISHKAH",15065,FALSE,1999,TRUE,TRUE
"MURNEN",15053,FALSE,1999,TRUE,FALSE
"MASHEL",14575,FALSE,1988,TRUE,FALSE
"ST. MARTIN",14223,FALSE,1997,TRUE,TRUE
"SAAR",14212,FALSE,2004,TRUE,TRUE
"SPRINGSTEEN",14086,FALSE,2002,TRUE,FALSE
"BALDHILL",13958,FALSE,2010,TRUE,TRUE
"BIRDSVIEW",13840,FALSE,1988,TRUE,TRUE
"SIFTON",13684,FALSE,1994,TRUE,TRUE
"AMPAD",13415,FALSE,2001,TRUE,TRUE
"ROBER",13410,FALSE,2002,TRUE,TRUE
"NATI",13337,FALSE,2010,TRUE,FALSE
"BLAG",13033,FALSE,1999,TRUE,TRUE
"SQUIRES",12720,FALSE,2002,TRUE,FALSE
"TENERIFFE",12572,TRUE,1988,TRUE,FALSE
"DIOBSUD",12169,FALSE,1994,TRUE,TRUE
"LONESTAR",11357,FALSE,1998,TRUE,FALSE
"SEAQUEST",11311,FALSE,1998,FALSE,TRUE
"APEX",10895,FALSE,2004,FALSE,TRUE
"SNOHOMISH",10750,FALSE,2002,FALSE,TRUE
"CRINKER",10737,FALSE,1994,TRUE,TRUE
"LYNNWOOD",10324,FALSE,1988,TRUE,FALSE
"TENAS",10252,FALSE,2005,FALSE,TRUE
"COLTER",10208,TRUE,1998,TRUE,FALSE
"TRADEDOLLAR",10191,FALSE,1998,TRUE,TRUE
"NATKIM",10008,FALSE,2001,FALSE,TRUE
"THETIS",9815,FALSE,2001,TRUE,TRUE
"TILLICUM",9749,FALSE,2002,TRUE,TRUE
"ARDENMONT",9685,FALSE,1999,TRUE,FALSE
"ROSLYN",9672,FALSE,2003,TRUE,FALSE
"KIPER",9548,FALSE,2001,FALSE,TRUE
"MELAKWA",9422,FALSE,2002,TRUE,FALSE
"MARBLEMOUNT",9324,FALSE,1994,TRUE,FALSE
"NAREL",9267,FALSE,1999,TRUE,TRUE
"CATLA",9204,FALSE,2004,FALSE,TRUE
"ANGLEN",9184,FALSE,2001,FALSE,TRUE
"COTTERAL",8871,FALSE,1998,TRUE,FALSE
"DELPHI",8834,FALSE,2004,TRUE,TRUE
"CLENDENEN",8597,FALSE,1994,TRUE,TRUE
"ILLABOT",8536,FALSE,2004,TRUE,TRUE
"SWEITING",8525,FALSE,2013,TRUE,FALSE
"KELLERBUTTE",8488,FALSE,2005,FALSE,TRUE
"POTCHUB",8441,FALSE,2004,TRUE,TRUE
"KOERLING",8325,FALSE,2005,FALSE,TRUE
"BROMO",8315,FALSE,2004,TRUE,TRUE
"BEAR PRAIRIE",8263,FALSE,1999,FALSE,TRUE
"VARELUM",7864,FALSE,2002,TRUE,FALSE
"YAHNE",7861,FALSE,2001,TRUE,TRUE
"CUPPLES",7830,FALSE,2004,TRUE,TRUE
"OSO",7774,FALSE,2004,TRUE,FALSE
"WALVILLE",7690,FALSE,2004,TRUE,TRUE
"DOBBS",7485,FALSE,2004,FALSE,TRUE
"KANASKAT",7400,FALSE,2002,TRUE,FALSE
"ESMERALDA",7066,FALSE,2001,TRUE,TRUE
"GROTTO",6993,FALSE,1988,TRUE,TRUE
"HARTNIT",6764,FALSE,2004,TRUE,FALSE
"WHITESTONE",6649,FALSE,2005,FALSE,TRUE
"GILES",6580,FALSE,2004,TRUE,FALSE
"WEDGEMONT",6399,FALSE,2003,FALSE,TRUE
"SQUALLY",6299,FALSE,1999,TRUE,TRUE
"ARISTINE",6270,FALSE,2006,FALSE,TRUE
"SPANA",6235,FALSE,2012,FALSE,TRUE
"TISCH",6210,FALSE,2004,TRUE,TRUE
"KACHESS",5996,FALSE,2001,FALSE,TRUE
"VOLPERIE",5907,FALSE,2001,TRUE,TRUE
"BISPING",5858,FALSE,2001,TRUE,FALSE
"STIMSON",5825,FALSE,2002,TRUE,TRUE
"NATIONAL",5722,FALSE,2003,TRUE,TRUE
"VOIGHT",5702,FALSE,2001,TRUE,TRUE
"LOPER",5689,FALSE,2002,TRUE,FALSE
"BLEWETT",5654,FALSE,1999,TRUE,TRUE
