"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"BADWATER","Btl",15,61,"10YR","4","3","10YR","3","2"
"BORDEAUX","Al",0,20,NA,NA,NA,"lOYR","5","2"
"BORDEAUX","Clca",20,46,NA,NA,NA,"lOYR","5","2"
"BORDEAUX","C2ca",46,152,NA,NA,NA,"lOYR","6","3"
"CAMBARGE","Clca",36,53,"2.5Y","8","2","2.5Y","6","2"
"CASTELLO","Clca",23,84,NA,NA,NA,"7.5YR","8","2"
"CONICAL","Oi",8,0,NA,NA,NA,NA,NA,NA
"CORA","Alg",0,30,NA,NA,NA,NA,NA,NA
"CORA","Ae",8,0,NA,NA,NA,NA,NA,NA
"EMBLEM","2Bkl",51,76,"10YR","6","3","10YR","4","4"
"FELTNER","Cca",30,41,"l0YR","6","4","10YR","5","4"
"FOURLOG","01",0,3,NA,NA,NA,NA,NA,NA
"FOXTON","Btl",20,41,"5YR","5","4","5YR","4","4"
"HUB","01",0,3,NA,NA,NA,NA,NA,NA
"HUB","02",3,0,NA,NA,NA,NA,NA,NA
"INDART","0i",0,8,NA,NA,NA,NA,NA,NA
"INDART","0e",8,10,NA,NA,NA,NA,NA,NA
"LASSEL","Clca",30,46,"10YR","6","3","10YR","5","3"
"MILLPOT","Clca",36,107,"7.5YR","8","2","7.5YR","6","3"
"RIMTON","0i",5,0,NA,NA,NA,NA,NA,NA
"RIMTON","0",8,5,NA,NA,NA,NA,NA,NA
"TORCHLIGHT","Clca",10,20,"2.5Y","5","2","2.5Y","4","2"
"TURNERVILLE","0i",0,3,NA,NA,NA,NA,NA,NA
"TURNERVILLE","0e",3,8,NA,NA,NA,NA,NA,NA
"UNSON","Clca",38,61,"10YR","7","2","10YR","5","2"
"WOODROCK","0i",0,5,NA,NA,NA,NA,NA,NA
"WOODROCK","0e",5,8,NA,NA,NA,NA,NA,NA
"WORTHENTON","O",5,0,NA,NA,NA,NA,NA,NA
