"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"CAMBARGE",53147,FALSE,1999,FALSE,TRUE
"EMBLEM",43830,TRUE,1999,FALSE,TRUE
"WOODROCK",43065,FALSE,2005,FALSE,TRUE
"BADWATER",36360,FALSE,2004,FALSE,TRUE
"TURNERVILLE",34383,FALSE,2005,FALSE,TRUE
"BORDEAUX",32625,FALSE,2004,FALSE,TRUE
"LASSEL",27262,FALSE,1999,FALSE,TRUE
"JEFFLAKE",23434,FALSE,1999,TRUE,TRUE
"TORCHLIGHT",21915,FALSE,1997,FALSE,TRUE
"FELTNER",18833,FALSE,1999,FALSE,TRUE
"FOXTON",15546,FALSE,2004,FALSE,TRUE
"CONICAL",11323,FALSE,1999,TRUE,FALSE
"FOLAVAR",8317,FALSE,1999,TRUE,FALSE
"WORTHENTON",8173,FALSE,1997,TRUE,FALSE
"DEMPSEY",6605,FALSE,2017,TRUE,FALSE
"MOSLANDER",5635,FALSE,2003,TRUE,FALSE
"HUB",5512,FALSE,1999,TRUE,TRUE
"PINEGUEST",5456,FALSE,1999,TRUE,FALSE
"INDART",4385,FALSE,2005,FALSE,TRUE
"RIMTON",2966,FALSE,1999,TRUE,TRUE
"GARZA",1224,FALSE,1999,TRUE,FALSE
"CORA",1156,FALSE,2004,TRUE,TRUE
"CASTELLO",617,FALSE,1999,FALSE,TRUE
"UNSON",NA,FALSE,2000,FALSE,TRUE
"MILLPOT",NA,FALSE,1999,FALSE,TRUE
"LANTIS",NA,FALSE,2006,TRUE,FALSE
"FOURLOG",NA,FALSE,2003,TRUE,TRUE
