"series","status","SC.taxcl","OSD.taxcl","flag"
"ADAMSON","established","COARSE-LOAMY OVER SANDY OR SANDY-SKELETAL, MIXED, SUPERACTIVE, FRIGID CALCIC PACHIC HAPLOXEROLLS","COARSE-LOAMY OVER SANDY OR SANDY-SKELETAL, MIXED, SUPERACTIVE, FRIGID CALCIC PACHIC HAPLOXEROLLSFRIGID CALCIC PACHIC HAPLOXEROLLS.",TRUE
"ADILIS","established","SANDY-SKELETAL, MIXED, FRIGID USTIC TORRIORTHENTS","SANDY-SKELETAL, MIXED, FRIGID USTICTORRIORTHENTS",TRUE
"ALBUS","established","LOAMY-SKELETAL, MICACEOUS, FRIGID ULTIC HAPLOXERALFS","LOAMY-SKELETAL, MICACEOUS, FRIGID ULTICHAPLOXERALFS",TRUE
"ARIEL","established","COARSE-SILTY, MIXED, ACTIVE, THERMIC FLUVENTIC DYSTRUDEPTS","COARSE-SILTY, MIXED, ACTIVE, THERMIC FLUVENTIC DYSTRUDEPTS(COLORS ARE FOR MOIST SOIL UNLESS OTHERWISE  STATED.)AP--0 TO 5 INCHES; BROWN (10YR 5/3) SILT LOAM; WEAK FINE GRANULAR STRUCTURE; VERY FRIABLE; MANY FINE ROOTS; FEW BROWN ROOT STAINS AND BLACK SPLOTCHES; MEDIUM ACID; CLEAR SMOOTH BOUNDARY.  (4 TO 8 INCHES THICK)BW1--5 TO 17 INCHES; DARK YELLOWISH BROWN (10YR 4/4) SILT LOAM; WEAK MEDIUM SUBANGULAR BLOCKY STRUCTURE; FRIABLE; FEW FINE ROOTS; FEW SILT OR OXIDE COATINGS ON FACES OF PEDS; STRONGLY ACID; CLEAR SMOOTH BOUNDARY.BW2--17 TO 25 INCHES; DARK YELLOWISH BROWN (10YR 4/4) SILT LOAM; WEAK MEDIUM SUBANGULAR BLOCKY STRUCTURE; FRIABLE; FEW FINE ROOTS; FEW SILT OR OXIDE COATINGS ON FACES OF PEDS; COMMON FINE BROWN CONCRETIONS; STRONGLY ACID; CLEAR SMOOTH BOUNDARY.  (COMBINED THICKNESS OF THE BW HORIZON IS 16 TO 42 INCHES.)EB--25 TO 30 INCHES; PALE BROWN (10YR 6/3) SILT LOAM; MANY MEDIUM DISTINCT DARK YELLOWISH BROWN (10YR 4/4) MOTTLES; WEAK MEDIUM SUBANGULAR BLOCKY STRUCTURE; FRIABLE; COMMON FINE PORES; FEW FINE BLACK CONCRETIONS; STRONGLY ACID; CLEAR SMOOTH BOUNDARY.  (0 TO 10 INCHES THICK)BWXB1--30 TO 56 INCHES; MOTTLED YELLOWISH BROWN (10YR 5/4) AND LIGHT GRAY (10YR 7/2) SILT LOAM; WEAK COARSE PRISMATIC PARTING TO WEAK MEDIUM SUBANGULAR BLOCKY STRUCTURE; FRIABLE; SLIGHTLY COMPACT AND BRITTLE; COMMON FINE AND MEDIUM BLACK CONCRETIONS; FEW TONGUES OF GRAY SILT BETWEEN PRISMS; STRONGLY ACID; CLEAR SMOOTH BOUNDARY.  (20 TO 30 INCHES THICK)BWXB2--56 TO 65 INCHES; YELLOWISH BROWN (10YR 5/4) SILT LOAM; COMMON MEDIUM DISTINCT LIGHT GRAY (10YR 7/1) MOTTLES; WEAK COARSE PRISMATIC PARTING TO WEAK MEDIUM SUBANGULAR BLOCKY STRUCTURE; FRIABLE; SLIGHTLY COMPACT AND BRITTLE; FEW TONGUES OF GRAY SILT BETWEEN PRISMS; COMMON FINE BLACK CONCRETIONS; STRONGLY ACID.",TRUE
"BARCUS","established","SANDY-SKELETAL, MIXED, FRIGID USTIC TORRIFLUVENTS","SANDY-SKELETAL, MIXED, FRIGID USTICTORRIFLUVENTS",TRUE
"BEAVERTAIL","established","LOAMY-SKELETAL, CARBONATIC, FRIGID HISTIC HUMAQUEPTS","LOAMY-SKELETAL, CARBONATIC, FRIGID HISTICHUMAQUEPTS",TRUE
"BIGFOOT","established","FINE, CARBONATIC, HYPERTHERMIC CUMULIC HAPLUSTOLLS","FINE, CARBONATIC, HYPERTHERMIC CUMULICHAPLUSTOLLS",TRUE
"BLACKSPOT","established","LOAMY-SKELETAL, MIXED, SUPERACTIVE, FRIGID, SHALLOW HAPLIC DURIXEROLLS","LOAMY-SKELETAL, MIXED, SUPERACTIVE, FRIGID, SHALLOW HAPLIC DURIXEROLLSDURIXEROLLS.",TRUE
"BRAD","established","SANDY-SKELETAL, MIXED, FRIGID LITHIC HAPLOXEROLLS","SANDY-SKELETAL, MIXED, FRIGID LITHICHAPLOXEROLLS",TRUE
"BROLLIAR","established","FINE, SMECTITIC, MESIC TYPIC ARGIUSTOLLS","FINE, SMECTITIC, MESIC TYPIC ARGIUSTOLLS(BOTH LAB PEDONS ARE CLASSIFIED IN A VERTIC SUBGROUP) (ONE IS PALEUSTOLLS)",TRUE
