"order","suborder","greatgroup","subgroup","edition","taxon","newcode","criterion"
"J","JA","JAH","JAHB","13","Aeric Vertic Albaqualfs","JAHB","JAHB. Other Albaqualfs that  meet items 1  and  2 below :"
"J","JA","JAH","JAHC","13","Chromic  Vertic  Albaqualfs","JAHC","JAHC. Other Albaqualfs that  meet items 1  and  3 below :"
"J","JA","JAH","JAHD","13","Vertic  Albaqualfs","JAHD","JAHD. Other Albaqualfs that  meet item 1 below :"
"J","JA","JAK","JAKH","13","Udollic Endoaqualfs","JAKH","JAKH. Other Endoaqualfs that  meet items 1  and  2 below :"
"J","JA","JAK","JAKI","13","Aeric Umbric Endoaqualfs","JAKI","JAK I . Other Endoaqualfs that  meet item s 2  and  3 below:"
"J","JA","JAK","JAKJ","13","Aeric Endoaqualfs","JAKJ","JAKJ . Other Endoaqualfs  the meet item 2 below:"
"J","JA","JAK","JAKK","13","Mollic Endoaqualfs","JAKK","JAKK . Other Endoaqualfs that meet item  1  below:"
"J","JA","JAK","JAKL","13","Umbric Endoaqua lfs","JAKL","JAKL . Other Endoaqualfs that meet item  3  below:"
"J","JA","JAJ","JAJA","13","Aeric Chromic Vertic Epiaqualfs","JAJA","JAJA. Epiaqualfs that  meet items 1, 2,  and  3 below :"
"J","JA","JAJ","JAJB","13","Aeric Vertic Epiaqualfs","JAJB","JAJ B . Epiaqualfs that meet items 1,  and   2 below:"
"J","JA","JAJ","JAJC","13","Chromic Vertic Epiaqualfs","JAJC","JAJC. Epiaqualfs that meet items 1  and  3 below:"
"J","JA","JAJ","JAJD","13","Vertic Epiaqualfs","JAJD","JAJ D . Epiaqualfs that meet item 1 below:"
"J","JA","JAJ","JAJJ","13","Aeric Umbric Epiaqualfs","JAJJ","JAJJ. Other Epiaqualfs that  meet items  1  and  2 below :"
"J","JA","JAJ","JAJK","13","Udollic  Epiaqualfs","JAJK","JAJK. Other Epiaqualfs that meet items 2  and  3 below:"
"J","JA","JAJ","JAJL","13","Aeric Epiaqualfs","JAJL","JAJL. Other Epiaqualfs that meet item 2 below:"
"J","JA","JAJ","JAJM","13","Mollic  Epiaqualfs","JAJM","JAJ M . Other Epiaqualfs that meet item   3  below:"
"J","JA","JAJ","JAJN","13","Umbric Epiaqualfs","JAJN","JAJN. Other Epiaqualfs that meet item 1 below:"
"J","JA","JAI","JAIC","13","Aeric Fragic Glossaqualfs","JAIC","JAIC. Other Glossaqualfs that  meet items 1  and  2 below :"
