"series","matches","mlraoffice","falsePositive"
"ABDALLAH","Foad","wasilla, ak",""
"BEARPAW","Savage","st. paul, mn",""
"BELFIELD","Savage","salina, ks",""
"BENZARINO","Damnation","portland, or",""
"BOBOWIC","Bohica","bozeman, mt",""
"BOUSSOLE","Foad","wasilla, ak",""
"BROCKPORT","Lynch","amherst, ma",""
"BROWNLEE","Squaw","portland, or",""
"BURNEL","Savage","bozeman, mt",""
"CEDARPAN","Savage","salina, ks",""
"CEDARSPRINGS","Savage","bozeman, mt",""
"CERRO","Savage","bozeman, mt",""
"CHARETTE","Swastika","phoenix, az",""
"CHENEGA","Fubar","wasilla, ak",""
"CHENEY","Bong","portland, or",""
"CHERRY","Savage","salina, ks",""
"CHUCKRIVER","Foad","wasilla, ak",""
"CLOVERCREEK","Squaw","portland, or",""
"COBEN","Savage","bozeman, mt",""
"DAGLUM","Savage","salina, ks",""
"DANVERS","Savage","salina, ks",""
"DECOROCK","Gypsey","phoenix, az",""
"DEETZ","Squaw","davis, ca","X"
"DELSON","Savage","bozeman, mt",""
"DERRINGER","Squaw","portland, or",""
"DETRA","Squaw","bozeman, mt",""
"DIMMICK","Savage","salina, ks",""
"DRYMESA","Anasazi","phoenix, az",""
"DUART","Bong","portland, or",""
"EIELSON","Fubar","wasilla, ak",""
"ENCINA","Squaw","portland, or",""
"ESKA","Bohica","wasilla, ak",""
"EXFO","Squaw","portland, or",""
"FARFELD","Savage","salina, ks",""
"FARLAND","Savage","salina, ks",""
"FEREBEE","Foad","wasilla, ak",""
"FIVEBIT","Squaw","portland, or",""
"FORDSTERROR","Foad","wasilla, ak",""
"FRIANA","Savage","phoenix, az",""
"GANHONA","Bohica","wasilla, ak",""
"GEMSON","Squaw","phoenix, az",""
"GERBANA","Savage","bozeman, mt",""
"GRAIL","Savage","salina, ks",""
"GRENADIER","Klootch","bozeman, mt",""
"GUANELLA","Squaw","bozeman, mt",""
"HARRIET","Savage","st. paul, mn",""
"HASKILLPASS","Lynch","bozeman, mt",""
"HERBMAN","Squaw","bozeman, mt",""
"HESSLAN","Bong","portland, or",""
"HINKER","Foad","portland, or",""
"HOBOHILL","Bong","portland, or",""
"HOOPGOBEL","Squawval","bozeman, mt",""
"HUDSPETH","Squaw","portland, or",""
"JANESBURG","Savage","salina, ks",""
"JERU","Klootch","bozeman, mt",""
"JUANALO","Gypsey","phoenix, az",""
"KAIAR","Anasazi","bozeman, mt",""
"KAKNAU","Bohica","wasilla, ak",""
"KALAMBACH","Bohica","wasilla, ak",""
"KARTA","Foad","wasilla, ak",""
"KEATCHIE","Meth","temple, tx",""
"KELSALL","Foad","wasilla, ak",""
"KENZO","Anasazi","phoenix, az",""
"KIDAZQENI","Fubar","wasilla, ak",""
"KORCHEA","Savage","salina, ks",""
"KRUBATE","Foad","wasilla, ak",""
"KUPREANOF","Foad","wasilla, ak",""
"KUTSKLOH","Foad","wasilla, ak",""
"LAWTHER","Savage","salina, ks",""
"LENNEP","Savage","salina, ks",""
"LEWNOT","Squaw","phoenix, az",""
"LOCEY","Squaw","portland, or",""
"LUTAK","Foad","wasilla, ak",""
"LYNCHLAKE","Lynch","bozeman, mt",""
"MAGNUS","Savage","st. paul, mn",""
"MCGAFFEY","Abo","phoenix, az",""
"MITKOF","Foad","wasilla, ak",""
"MONTOUR","Squaw","portland, or",""
"MOREAU","Savage","salina, ks",""
"MORPH","Squaw","st. paul, mn",""
"MORTON","Savage","salina, ks",""
"NATAGA","Foad","wasilla, ak",""
"NEWELL","Squaw","portland, or",""
"NORTEZ","Squaw","bozeman, mt",""
"NORTHRIVER","Klootch","wasilla, ak",""
"NUNNSTON","Savage","bozeman, mt",""
"OAGAMATI","Gypsey","phoenix, az",""
"OCCIDENTAL","Hobo","davis, ca",""
"OXMAN","Squaw","portland, or",""
"PENINSULA","Savage","bozeman, mt",""
"PIEGAN","Squaw","bozeman, mt",""
"PILEDRIVER","Fubar","wasilla, ak",""
"PINTLAR","Squaw","bozeman, mt",""
"RABUN","Dyke","morgantown, wv",""
"REDSPRINGS","Meth","temple, tx",""
"REGAN","Savage","st. paul, mn",""
"REGENT","Savage","salina, ks",""
"REGET","Savage","bozeman, mt",""
"RIDGEVIEW","Savage","salina, ks",""
"ROOSTERCOMB","Squaw","portland, or",""
"ROSY","Squaw","st. paul, mn",""
"SAVAGECREEK","Savage","davis, ca",""
"SAVAR","Savage","bozeman, mt",""
"SEN","Savage","salina, ks",""
"SHALAKO","Anasazi","bozeman, mt",""
"SHAMBO","Savage","salina, ks",""
"SHANGLAND","Squaw","portland, or",""
"SKYMO","Damnation","portland, or",""
"SMITHPOND","Anasazi","bozeman, mt",""
"SNETTISHAM","Foad","wasilla, ak",""
"SOUTHPAW","Bohica","wasilla, ak",""
"STEESE","Bohica","wasilla, ak",""
"SUPOSO","Savage","bozeman, mt",""
"SUTA","Squaw","portland, or","X"
"SUTRA","Bobzbulz","phoenix, az",""
"TAQOCI","Gypsey","phoenix, az",""
"TEBAY","Bohica","wasilla, ak",""
"TINGEY","Squaw","bozeman, mt",""
"TOGIAK","Fubar","wasilla, ak",""
"TOMASAKI","Savage","bozeman, mt",""
"TROUTDALE","Squaw","bozeman, mt",""
"TSANA","Bohica","wasilla, ak",""
"TSOODZIL","Savage","phoenix, az",""
"TUKUHNIK","Savage","bozeman, mt",""
"UNISON","Dyke","morgantown, wv",""
"VELVA","Savage","salina, ks",""
"WILDROSE","Savage","st. paul, mn",""
"WINTERGREEN","Dyke","morgantown, wv",""
"XAVIER","Savage","salina, ks",""
"YOGOVUCI","Gypsey","phoenix, az",""
"ANNAHOOTZ","Foad","wasilla, ak",""
"JUSTICECREEK","Foad","wasilla, ak",""
"CHARPENTIER","Foad","wasilla, ak",""
